"Source File";"240423B\Trend1.trd";"Date";"04/23/24";"Output";"D:\RespirationData\240423B.txt";"Start";"17:54:51";"Stop";"21:15:54"
"Saba_20241023"
"Time";"Resp Rate";"Temp 1"
"Seconds";"Resp/m";"°C"
1;117;35.2
2;117;35.2
3;120;35.3
4;121;35.3
5;122;35.3
6;126;35.3
7;128;35.4
8;130;35.4
9;138;35.3
10;141;35.3
11;143;35.2
12;144;35.2
13;153;35.1
14;158;35.1
15;166;35.0
16;169;35.0
17;174;35.0
18;175;35.0
19;177;35.0
20;180;34.9
21;180;34.9
22;182;34.9
23;183;34.8
24;185;34.8
25;185;34.8
26;189;34.8
27;201;34.8
28;199;34.8
29;176;34.7
30;173;34.6
31;145;34.5
32;120;34.5
33;99;34.5
34;86;34.5
35;55;34.5
36;51;34.5
37;53;34.4
38;66;34.5
39;78;34.5
40;86;34.5
41;77;34.5
42;80;34.4
43;90;34.3
44;90;34.3
45;61;34.3
46;44;34.3
47;29;34.3
48;39;34.2
49;59;34.2
50;69;34.2
51;84;34.2
52;93;34.2
53;137;34.2
54;142;34.2
55;174;34.1
56;185;34.2
57;186;34.2
58;185;34.2
59;184;34.3
60;184;34.3
61;183;34.3
62;178;34.3
63;178;34.4
64;179;34.4
65;179;34.5
66;180;34.5
67;180;34.5
68;181;34.5
69;179;34.5
70;185;34.6
71;179;34.6
72;177;34.7
73;156;34.8
74;141;34.8
75;135;34.8
76;96;34.8
77;91;34.8
78;87;34.8
79;85;34.8
80;95;34.7
81;109;34.6
82;118;34.5
83;121;34.5
84;151;34.4
85;153;34.4
86;154;34.3
87;149;34.3
88;143;34.3
89;140;34.3
90;138;34.3
91;134;34.4
92;136;34.5
93;133;34.5
94;134;34.5
95;139;34.5
96;142;34.5
97;141;34.5
98;145;34.5
99;149;34.6
100;148;34.7
101;144;34.7
102;136;34.7
103;132;34.7
104;131;34.7
105;129;34.8
106;125;34.8
107;122;34.8
108;121;34.8
109;126;34.8
110;132;34.9
111;133;34.9
112;133;34.9
113;135;34.9
114;134;34.9
115;132;34.9
116;133;34.9
117;131;35.0
118;131;35.0
119;131;35.0
120;132;35.0
121;129;35.0
122;132;35.0
123;133;35.1
124;131;35.1
125;133;35.1
126;132;35.1
127;132;35.2
128;128;35.2
129;131;35.2
130;130;35.2
131;128;35.2
132;128;35.2
133;129;35.2
134;130;35.2
135;133;35.2
136;135;35.2
137;134;35.2
138;134;35.2
139;136;35.2
140;137;35.2
141;136;35.2
142;136;35.2
143;137;35.2
144;140;35.2
145;143;35.2
146;144;35.2
147;147;35.2
148;150;35.2
149;147;35.2
150;146;35.2
151;144;35.2
152;141;35.2
153;138;35.2
154;138;35.2
155;134;35.2
156;132;35.2
157;136;35.3
158;135;35.3
159;135;35.3
160;138;35.2
161;139;35.2
162;140;35.2
163;142;35.2
164;145;35.2
165;150;35.2
166;155;35.3
167;156;35.3
168;156;35.3
169;156;35.2
170;157;35.2
171;155;35.2
172;153;35.3
173;149;35.3
174;146;35.3
175;145;35.3
176;148;35.3
177;149;35.2
178;144;35.2
179;142;35.2
180;144;35.2
181;142;35.2
182;144;35.2
183;155;35.2
184;162;35.2
185;166;35.2
186;172;35.2
187;167;35.2
188;162;35.2
189;155;35.1
190;153;35.1
191;148;35.1
192;143;35.1
193;134;35.2
194;129;35.2
195;137;35.2
196;142;35.2
197;153;35.2
198;157;35.2
199;151;35.2
200;142;35.2
201;147;35.2
202;149;35.2
203;148;35.2
204;153;35.2
205;154;35.2
206;158;35.1
207;158;35.1
208;157;35.1
209;153;35.1
210;152;35.1
211;150;35.0
212;144;35.0
213;143;35.0
214;139;35.0
215;150;35.0
216;160;35.0
217;159;35.0
218;155;35.1
219;153;35.1
220;154;35.1
221;150;35.1
222;150;35.1
223;138;35.0
224;126;35.1
225;128;35.0
226;134;35.0
227;133;35.0
228;129;35.0
229;127;35.0
230;125;35.1
231;128;35.1
232;132;35.1
233;135;35.2
234;132;35.2
235;137;35.2
236;142;35.1
237;143;35.1
238;143;35.1
239;143;35.0
240;150;35.0
241;154;35.0
242;155;35.0
243;157;35.0
244;160;35.0
245;161;35.0
246;162;35.0
247;159;35.0
248;148;35.0
249;147;35.0
250;148;35.0
251;146;35.0
252;141;35.0
253;143;35.0
254;139;34.9
255;141;34.9
256;152;34.9
257;151;34.9
258;150;34.9
259;149;34.9
260;148;34.9
261;147;34.9
262;152;34.9
263;154;34.9
264;146;34.8
265;143;34.9
266;146;34.9
267;147;34.9
268;143;34.8
269;143;34.9
270;145;34.8
271;146;34.9
272;150;34.8
273;152;34.9
274;150;34.8
275;149;34.8
276;148;34.8
277;141;34.8
278;138;34.8
279;134;34.8
280;132;34.9
281;133;34.9
282;131;34.9
283;135;35.0
284;144;35.0
285;153;35.0
286;157;35.0
287;162;35.0
288;168;35.0
289;171;35.0
290;163;35.0
291;155;35.0
292;154;35.0
293;153;35.0
294;148;34.9
295;142;34.9
296;138;34.9
297;137;34.9
298;143;34.8
299;151;34.8
300;154;34.8
301;153;34.8
302;154;34.8
303;161;34.8
304;162;34.8
305;163;34.8
306;161;34.8
307;163;34.8
308;161;34.8
309;160;34.8
310;161;34.8
311;160;34.8
312;159;34.8
313;158;34.8
314;159;34.8
315;159;34.9
316;159;34.8
317;160;34.8
318;159;34.8
319;161;34.8
320;161;34.8
321;163;34.8
322;164;34.8
323;159;34.8
324;161;34.8
325;164;34.8
326;166;34.8
327;165;34.8
328;166;34.8
329;163;34.8
330;165;34.8
331;170;34.8
332;162;34.8
333;156;34.8
334;153;34.9
335;147;34.9
336;145;34.9
337;146;34.9
338;144;34.9
339;138;34.9
340;143;34.9
341;149;34.9
342;150;34.9
343;148;34.9
344;148;34.9
345;151;34.9
346;151;34.9
347;158;34.8
348;158;34.8
349;160;34.8
350;162;34.8
351;165;34.8
352;158;34.8
353;166;34.8
354;158;34.8
355;153;34.8
356;134;34.8
357;130;34.8
358;113;34.7
359;106;34.7
360;126;34.7
361;122;34.7
362;118;34.8
363;110;34.8
364;116;34.7
365;115;34.8
366;129;34.8
367;137;34.8
368;131;34.8
369;132;34.8
370;144;34.8
371;157;34.8
372;176;34.8
373;178;34.8
374;186;34.8
375;186;34.7
376;151;34.7
377;151;34.7
378;133;34.7
379;133;34.7
380;92;34.7
381;95;34.7
382;90;34.7
383;91;34.7
384;110;34.7
385;125;34.7
386;138;34.7
387;140;34.7
388;173;34.7
389;180;34.7
390;181;34.7
391;182;34.7
392;183;34.7
393;179;34.7
394;183;34.7
395;165;34.7
396;165;34.6
397;154;34.5
398;97;34.5
399;76;34.5
400;60;34.5
401;44;34.5
402;48;34.5
403;63;34.5
404;70;34.5
405;108;34.5
406;108;34.5
407;131;34.5
408;131;34.5
409;161;34.5
410;161;34.5
411;161;34.5
412;161;34.5
413;160;34.5
414;163;34.4
415;164;34.4
416;164;34.4
417;162;34.4
418;160;34.4
419;164;34.4
420;165;34.4
421;168;34.4
422;165;34.4
423;171;34.4
424;175;34.4
425;180;34.4
426;178;34.4
427;173;34.4
428;175;34.4
429;176;34.4
430;173;34.4
431;173;34.4
432;168;34.4
433;168;34.5
434;176;34.4
435;176;34.4
436;170;34.4
437;170;34.4
438;169;34.4
439;169;34.4
440;175;34.5
441;175;34.5
442;178;34.5
443;178;34.5
444;175;34.5
445;175;34.5
446;179;34.5
447;180;34.5
448;176;34.5
449;176;34.5
450;176;34.5
451;168;34.5
452;171;34.6
453;174;34.6
454;146;34.5
455;147;34.6
456;150;34.6
457;154;34.6
458;153;34.6
459;160;34.6
460;160;34.6
461;159;34.6
462;186;34.6
463;188;34.6
464;191;34.6
465;178;34.6
466;178;34.7
467;171;34.7
468;171;34.8
469;169;34.8
470;169;34.8
471;177;34.8
472;177;34.8
473;201;34.8
474;201;34.8
475;217;34.8
476;217;34.8
477;227;34.8
478;140;34.7
479;126;34.8
480;89;34.7
481;73;34.7
482;32;34.7
483;27;34.7
484;27;34.7
485;27;34.5
486;36;34.5
487;51;34.5
488;70;34.5
489;77;34.5
490;125;34.4
491;125;34.4
492;159;34.3
493;159;34.3
494;164;34.3
495;164;34.3
496;160;34.2
497;160;34.1
498;158;34.1
499;158;34.1
500;155;34.0
501;155;34.0
502;149;34.0
503;149;34.0
504;148;34.0
505;148;34.0
506;140;34.0
507;140;33.9
508;137;33.9
509;136;33.9
510;136;33.9
511;132;33.9
512;131;33.9
513;129;33.9
514;129;33.9
515;125;33.9
516;124;33.9
517;122;33.8
518;120;33.8
519;113;33.8
520;112;33.8
521;105;33.8
522;105;33.8
523;102;33.8
524;102;33.8
525;97;33.8
526;97;33.8
527;98;33.8
528;98;33.7
529;100;33.7
530;100;33.7
531;99;33.7
532;99;33.7
533;101;33.7
534;101;33.7
535;102;33.7
536;102;33.7
537;100;33.7
538;100;33.6
539;103;33.7
540;103;33.6
541;101;33.6
542;100;33.5
543;99;33.5
544;99;33.5
545;80;33.4
546;77;33.4
547;70;33.4
548;72;33.4
549;73;33.4
550;76;33.4
551;76;33.3
552;96;33.3
553;96;33.2
554;103;33.2
555;103;33.2
556;104;33.2
557;104;33.2
558;106;33.2
559;106;33.2
560;107;33.2
561;107;33.2
562;109;33.2
563;109;33.3
564;112;33.3
565;112;33.3
566;114;33.4
567;114;33.4
568;108;33.4
569;108;33.4
570;107;33.4
571;107;33.4
572;95;33.4
573;91;33.4
574;90;33.4
575;86;33.4
576;85;33.4
577;92;33.4
578;92;33.4
579;93;33.4
580;106;33.4
581;106;33.4
582;106;33.4
583;115;33.4
584;115;33.4
585;119;33.4
586;119;33.4
587;105;33.4
588;105;33.4
589;106;33.4
590;106;33.4
591;98;33.4
592;98;33.4
593;96;33.4
594;96;33.4
595;107;33.4
596;107;33.4
597;107;33.4
598;107;33.3
599;123;33.4
600;123;33.3
601;126;33.4
602;126;33.4
603;136;33.4
604;136;33.4
605;142;33.4
606;155;33.4
607;0;33.4
608;65;33.4
609;84;33.4
610;87;33.3
611;98;33.3
612;104;33.3
613;105;33.3
614;106;33.3
615;106;33.3
616;117;33.3
617;117;33.3
618;128;33.3
619;128;33.3
620;141;33.3
621;141;33.3
622;135;33.3
623;135;33.3
624;95;33.3
625;95;33.3
626;68;33.3
627;68;33.3
628;63;33.2
629;63;33.2
630;74;33.3
631;74;33.2
632;113;33.2
633;113;33.2
634;143;33.2
635;143;33.2
636;150;33.2
637;144;33.2
638;141;33.2
639;127;33.2
640;128;33.2
641;125;33.2
642;125;33.2
643;54;33.2
644;54;33.2
645;70;33.2
646;70;33.2
647;91;33.2
648;91;33.2
649;101;33.2
650;101;33.2
651;147;33.2
652;147;33.2
653;155;33.2
654;155;33.2
655;125;33.2
656;125;33.2
657;97;33.2
658;97;33.2
659;89;33.1
660;89;33.1
661;88;33.1
662;88;33.1
663;109;33.1
664;109;33.1
665;140;33.2
666;140;33.1
667;140;33.1
668;140;33.1
669;130;33.1
670;126;33.1
671;129;33.1
672;130;33.1
673;130;33.1
674;120;33.1
675;120;33.0
676;139;33.1
677;139;33.1
678;133;33.0
679;133;33.0
680;126;33.0
681;126;33.0
682;134;33.0
683;134;33.0
684;135;33.0
685;135;33.0
686;133;33.0
687;133;33.0
688;128;33.0
689;128;33.0
690;110;33.0
691;110;33.0
692;61;33.0
693;61;33.0
694;69;32.9
695;69;33.0
696;85;32.9
697;85;32.9
698;96;32.9
699;96;32.9
700;137;33.0
701;140;32.9
702;140;32.9
703;157;32.9
704;157;32.9
705;159;32.9
706;159;32.9
707;132;32.9
708;132;32.9
709;134;32.9
710;134;32.9
711;127;32.9
712;127;32.9
713;134;32.9
714;134;32.9
715;166;32.9
716;166;32.9
717;163;32.9
718;163;32.9
719;161;32.9
720;161;32.9
721;126;32.9
722;126;32.9
723;137;32.9
724;137;32.9
725;143;32.9
726;143;32.9
727;149;32.9
728;149;32.9
729;185;32.9
730;177;32.9
731;173;32.9
732;168;32.9
733;168;32.9
734;169;32.9
735;169;32.9
736;173;32.9
737;173;32.9
738;168;32.9
739;168;32.8
740;178;32.8
741;178;32.8
742;176;32.9
743;176;32.8
744;168;32.8
745;168;32.8
746;170;32.8
747;170;32.8
748;143;32.8
749;143;32.8
750;131;32.8
751;131;32.8
752;132;32.8
753;132;32.8
754;131;32.8
755;131;32.8
756;156;32.8
757;156;32.8
758;169;32.8
759;169;32.8
760;160;32.8
761;168;32.8
762;155;32.7
763;143;32.7
764;143;32.7
765;113;32.7
766;113;32.7
767;117;32.7
768;117;32.7
769;72;32.7
770;72;32.7
771;83;32.7
772;83;32.7
773;108;32.7
774;108;32.7
775;113;32.7
776;113;32.7
777;144;32.7
778;144;32.7
779;158;32.7
780;158;32.7
781;158;32.7
782;158;32.7
783;165;32.7
784;165;32.7
785;173;32.7
786;173;32.7
787;176;32.7
788;174;32.7
789;145;32.7
790;131;32.7
791;127;32.7
792;128;32.7
793;123;32.7
794;117;32.7
795;116;32.7
796;121;32.7
797;121;32.7
798;172;32.7
799;172;32.7
800;171;32.7
801;171;32.7
802;185;32.7
803;185;32.7
804;190;32.7
805;190;32.7
806;159;32.7
807;159;32.7
808;167;32.6
809;167;32.7
810;137;32.6
811;137;32.6
812;139;32.6
813;139;32.6
814;157;32.6
815;157;32.6
816;148;32.6
817;172;32.6
818;182;32.6
819;180;32.6
820;181;32.6
821;167;32.6
822;145;32.6
823;143;32.6
824;146;32.5
825;136;32.5
826;137;32.6
827;135;32.5
828;135;32.6
829;130;32.5
830;130;32.5
831;153;32.5
832;153;32.5
833;156;32.5
834;156;32.5
835;163;32.5
836;163;32.5
837;179;32.5
838;179;32.5
839;159;32.5
840;159;32.5
841;144;32.5
842;144;32.5
843;99;32.5
844;99;32.5
845;99;32.5
846;99;32.5
847;112;32.5
848;122;32.5
849;133;32.5
850;139;32.5
851;171;32.5
852;164;32.5
853;174;32.5
854;152;32.5
855;132;32.5
856;121;32.5
857;106;32.5
858;93;32.5
859;66;32.5
860;68;32.5
861;68;32.5
862;106;32.5
863;106;32.5
864;131;32.5
865;131;32.5
866;133;32.5
867;133;32.5
868;157;32.5
869;157;32.5
870;113;32.5
871;113;32.5
872;66;32.4
873;66;32.5
874;58;32.4
875;58;32.4
876;74;32.4
877;74;32.4
878;96;32.4
879;108;32.4
880;145;32.4
881;169;32.4
882;163;32.4
883;158;32.4
884;158;32.4
885;116;32.4
886;117;32.4
887;113;32.4
888;114;32.4
889;113;32.4
890;111;32.4
891;111;32.4
892;111;32.4
893;117;32.4
894;117;32.4
895;114;32.3
896;114;32.4
897;126;32.4
898;126;32.4
899;128;32.3
900;128;32.3
901;146;32.3
902;146;32.3
903;119;32.3
904;119;32.3
905;107;32.3
906;107;32.3
907;99;32.3
908;108;32.3
909;103;32.3
910;104;32.3
911;111;32.3
912;106;32.3
913;89;32.3
914;105;32.3
915;112;32.3
916;112;32.2
917;124;32.3
918;103;32.3
919;107;32.3
920;112;32.2
921;127;32.2
922;125;32.2
923;126;32.3
924;129;32.2
925;129;32.3
926;179;32.3
927;179;32.3
928;186;32.3
929;186;32.3
930;186;32.3
931;186;32.3
932;184;32.3
933;184;32.3
934;183;32.3
935;183;32.2
936;173;32.2
937;123;32.2
938;120;32.2
939;121;32.2
940;124;32.2
941;117;32.2
942;104;32.2
943;73;32.2
944;79;32.2
945;107;32.2
946;111;32.2
947;119;32.2
948;106;32.2
949;96;32.2
950;89;32.2
951;115;32.2
952;106;32.3
953;97;32.2
954;84;32.2
955;54;32.2
956;54;32.2
957;92;32.2
958;92;32.2
959;108;32.2
960;108;32.2
961;80;32.2
962;80;32.2
963;76;32.2
964;76;32.2
965;73;32.2
966;87;32.2
967;98;32.2
968;137;32.2
969;148;32.2
970;154;32.2
971;199;32.2
972;193;32.2
973;196;32.2
974;191;32.2
975;190;32.2
976;133;32.2
977;125;32.2
978;112;32.2
979;92;32.2
980;86;32.2
981;54;32.2
982;54;32.2
983;54;32.2
984;51;32.2
985;40;32.2
986;36;32.2
987;34;32.2
988;35;32.2
989;35;32.2
990;63;32.1
991;63;32.1
992;96;32.2
993;96;32.1
994;96;32.1
995;96;32.1
996;121;32.2
997;121;32.2
998;109;32.1
999;65;32.1
1000;75;32.1
1001;76;32.1
1002;78;32.1
1003;79;32.1
1004;76;32.1
1005;81;32.1
1006;83;32.1
1007;101;32.1
1008;88;32.1
1009;76;32.1
1010;68;32.1
1011;82;32.1
1012;104;32.0
1013;111;32.1
1014;124;32.1
1015;147;32.1
1016;141;32.1
1017;134;32.1
1018;158;32.1
1019;141;32.1
1020;141;32.1
1021;132;32.0
1022;132;32.0
1023;97;32.0
1024;97;32.0
1025;94;32.0
1026;94;32.1
1027;115;32.0
1028;100;32.0
1029;99;32.0
1030;99;32.0
1031;99;32.0
1032;107;32.0
1033;111;32.0
1034;101;32.0
1035;104;32.0
1036;111;32.0
1037;118;32.0
1038;127;32.0
1039;137;32.0
1040;173;32.0
1041;172;32.0
1042;167;32.0
1043;163;32.0
1044;168;32.0
1045;164;32.0
1046;163;32.0
1047;114;32.0
1048;106;32.0
1049;97;32.0
1050;102;32.0
1051;64;32.0
1052;51;32.0
1053;51;32.0
1054;56;32.0
1055;62;32.0
1056;48;32.0
1057;40;32.0
1058;40;32.0
1059;48;32.0
1060;47;32.0
1061;36;32.0
1062;53;32.0
1063;66;32.0
1064;80;32.0
1065;117;32.0
1066;110;32.0
1067;110;32.0
1068;106;32.0
1069;136;32.0
1070;127;32.0
1071;115;32.0
1072;100;32.0
1073;79;32.0
1074;72;32.0
1075;66;32.0
1076;70;32.0
1077;72;32.0
1078;65;32.0
1079;61;32.0
1080;61;32.0
1081;56;32.0
1082;62;32.0
1083;61;32.0
1084;61;32.0
1085;84;32.0
1086;84;32.0
1087;84;32.0
1088;77;32.0
1089;95;32.0
1090;84;32.0
1091;93;32.0
1092;81;32.0
1093;68;32.0
1094;61;31.9
1095;69;32.0
1096;75;32.0
1097;70;32.0
1098;84;32.0
1099;84;31.9
1100;83;32.0
1101;84;31.9
1102;62;31.9
1103;75;31.9
1104;75;31.9
1105;75;31.9
1106;75;31.9
1107;54;31.9
1108;57;31.9
1109;54;31.9
1110;46;31.9
1111;57;31.9
1112;57;31.9
1113;57;31.9
1114;49;31.8
1115;69;31.9
1116;70;31.9
1117;80;31.9
1118;107;31.8
1119;95;31.9
1120;95;31.9
1121;78;31.8
1122;98;31.9
1123;92;31.8
1124;75;31.9
1125;61;31.8
1126;56;31.8
1127;53;31.8
1128;52;31.9
1129;65;31.8
1130;58;31.8
1131;51;31.8
1132;52;31.8
1133;68;31.8
1134;83;31.8
1135;88;31.8
1136;106;31.8
1137;95;31.8
1138;95;31.8
1139;105;31.8
1140;121;31.8
1141;109;31.8
1142;87;31.8
1143;46;31.8
1144;46;31.8
1145;46;31.8
1146;46;31.8
1147;40;31.8
1148;34;31.8
1149;38;31.8
1150;38;31.8
1151;55;31.8
1152;28;31.8
1153;30;31.8
1154;35;31.8
1155;35;31.8
1156;42;31.8
1157;34;31.8
1158;25;31.8
1159;39;31.8
1160;53;31.8
1161;63;31.8
1162;57;31.8
1163;57;31.8
1164;55;31.8
1165;53;31.8
1166;76;31.8
1167;57;31.8
1168;55;31.8
1169;43;31.8
1170;43;31.8
1171;43;31.8
1172;36;31.8
1173;35;31.8
1174;35;31.8
1175;35;31.8
1176;40;31.8
1177;36;31.8
1178;36;31.8
1179;31;31.8
1180;36;31.8
1181;41;31.8
1182;41;31.8
1183;42;31.8
1184;38;31.8
1185;38;31.7
1186;35;31.7
1187;43;31.8
1188;41;31.7
1189;28;31.8
1190;28;31.8
1191;26;31.8
1192;23;31.7
1193;23;31.7
1194;22;31.8
1195;20;31.7
1196;23;31.7
1197;45;31.7
1198;51;31.7
1199;51;31.7
1200;67;31.7
1201;80;31.8
1202;99;31.7
1203;142;31.7
1204;154;31.7
1205;165;31.7
1206;167;31.7
1207;166;31.7
1208;181;31.7
1209;177;31.7
1210;142;31.7
1211;124;31.7
1212;129;31.7
1213;105;31.7
1214;90;31.7
1215;50;31.7
1216;48;31.7
1217;51;31.7
1218;46;31.7
1219;45;31.7
1220;28;31.7
1221;34;31.7
1222;34;31.7
1223;41;31.7
1224;29;31.7
1225;42;31.7
1226;42;31.7
1227;40;31.6
1228;51;31.6
1229;55;31.7
1230;63;31.7
1231;63;31.6
1232;89;31.6
1233;75;31.6
1234;47;31.6
1235;73;31.6
1236;77;31.6
1237;81;31.6
1238;69;31.6
1239;66;31.6
1240;66;31.6
1241;66;31.6
1242;77;31.6
1243;70;31.6
1244;71;31.6
1245;65;31.6
1246;64;31.6
1247;72;31.6
1248;67;31.6
1249;67;31.6
1250;76;31.6
1251;62;31.6
1252;58;31.6
1253;58;31.6
1254;58;31.6
1255;53;31.6
1256;56;31.6
1257;45;31.6
1258;65;31.6
1259;78;31.6
1260;85;31.6
1261;85;31.6
1262;81;31.6
1263;81;31.5
1264;81;31.6
1265;92;31.6
1266;76;31.6
1267;52;31.6
1268;42;31.6
1269;35;31.6
1270;33;31.6
1271;33;31.6
1272;33;31.5
1273;38;31.5
1274;54;31.5
1275;79;31.5
1276;82;31.6
1277;90;31.5
1278;86;31.5
1279;86;31.5
1280;83;31.5
1281;118;31.5
1282;104;31.5
1283;87;31.5
1284;77;31.5
1285;77;31.5
1286;83;31.5
1287;83;31.5
1288;88;31.5
1289;59;31.5
1290;57;31.5
1291;49;31.5
1292;56;31.5
1293;80;31.5
1294;84;31.5
1295;82;31.5
1296;81;31.5
1297;94;31.5
1298;89;31.5
1299;107;31.5
1300;113;31.5
1301;72;31.5
1302;62;31.5
1303;62;31.5
1304;61;31.5
1305;35;31.5
1306;40;31.5
1307;45;31.5
1308;44;31.5
1309;52;31.5
1310;58;31.5
1311;58;31.5
1312;58;31.5
1313;97;31.5
1314;64;31.5
1315;56;31.5
1316;52;31.5
1317;53;31.5
1318;52;31.5
1319;52;31.5
1320;52;31.5
1321;52;31.5
1322;45;31.5
1323;49;31.5
1324;54;31.5
1325;43;31.5
1326;35;31.5
1327;35;31.5
1328;35;31.5
1329;35;31.5
1330;0;31.5
1331;95;31.5
1332;65;31.5
1333;65;31.4
1334;65;31.5
1335;37;31.5
1336;41;31.5
1337;41;31.4
1338;38;31.5
1339;33;31.5
1340;30;31.5
1341;30;31.5
1342;30;31.5
1343;0;31.5
1344;83;31.5
1345;87;31.4
1346;73;31.4
1347;73;31.4
1348;60;31.4
1349;67;31.4
1350;67;31.4
1351;52;31.4
1352;50;31.5
1353;50;31.4
1354;46;31.4
1355;41;31.5
1356;42;31.4
1357;36;31.4
1358;36;31.4
1359;44;31.4
1360;30;31.4
1361;25;31.4
1362;25;31.4
1363;37;31.4
1364;43;31.4
1365;43;31.4
1366;39;31.4
1367;42;31.4
1368;56;31.4
1369;46;31.4
1370;54;31.4
1371;53;31.4
1372;42;31.4
1373;42;31.4
1374;45;31.4
1375;42;31.4
1376;46;31.4
1377;53;31.4
1378;48;31.4
1379;48;31.4
1380;56;31.4
1381;46;31.4
1382;64;31.4
1383;66;31.3
1384;64;31.3
1385;71;31.3
1386;56;31.3
1387;75;31.3
1388;90;31.3
1389;129;31.4
1390;132;31.4
1391;129;31.4
1392;134;31.3
1393;134;31.3
1394;154;31.4
1395;141;31.3
1396;110;31.4
1397;98;31.4
1398;81;31.3
1399;57;31.4
1400;37;31.3
1401;37;31.3
1402;37;31.4
1403;37;31.4
1404;37;31.4
1405;40;31.5
1406;54;31.5
1407;70;31.5
1408;70;31.5
1409;70;31.5
1410;95;31.5
1411;61;31.5
1412;61;31.6
1413;55;31.5
1414;37;31.5
1415;26;31.5
1416;26;31.5
1417;26;31.5
1418;26;31.5
1419;37;31.5
1420;37;31.5
1421;37;31.5
1422;203;31.5
1423;201;31.5
1424;210;31.5
1425;206;31.5
1426;193;31.5
1427;197;31.5
1428;197;31.6
1429;149;31.6
1430;147;31.7
1431;138;31.7
1432;80;31.6
1433;64;31.6
1434;44;31.6
1435;21;31.7
1436;32;31.6
1437;49;31.6
1438;58;31.7
1439;69;31.7
1440;94;31.7
1441;100;31.6
1442;104;31.6
1443;152;31.6
1444;153;31.7
1445;155;31.7
1446;157;31.7
1447;156;31.6
1448;161;31.6
1449;158;31.6
1450;159;31.6
1451;156;31.6
1452;160;31.6
1453;160;31.6
1454;162;31.6
1455;166;31.6
1456;162;31.6
1457;162;31.6
1458;164;31.6
1459;170;31.6
1460;169;31.7
1461;158;31.7
1462;154;31.8
1463;151;31.8
1464;148;31.7
1465;91;31.7
1466;79;31.7
1467;57;31.6
1468;37;31.6
1469;26;31.6
1470;30;31.6
1471;30;31.6
1472;30;31.6
1473;40;31.6
1474;32;31.6
1475;41;31.6
1476;61;31.6
1477;72;31.6
1478;82;31.6
1479;91;31.6
1480;100;31.6
1481;104;31.5
1482;158;31.6
1483;159;31.6
1484;156;31.6
1485;138;31.6
1486;135;31.6
1487;121;31.6
1488;103;31.6
1489;96;31.6
1490;75;31.7
1491;65;31.8
1492;56;31.8
1493;58;31.8
1494;53;31.8
1495;52;31.8
1496;50;31.8
1497;0;31.8
1498;0;31.8
1499;43;31.8
1500;78;31.8
1501;98;31.8
1502;106;31.8
1503;115;31.8
1504;122;31.8
1505;128;31.8
1506;133;31.8
1507;168;31.8
1508;168;31.8
1509;171;31.8
1510;172;31.8
1511;172;31.8
1512;174;31.8
1513;158;31.8
1514;156;31.8
1515;137;31.8
1516;118;31.8
1517;101;31.8
1518;83;31.8
1519;70;31.8
1520;61;31.8
1521;82;31.8
1522;93;31.7
1523;109;31.8
1524;128;31.8
1525;143;31.7
1526;168;31.7
1527;171;31.7
1528;192;31.8
1529;195;31.8
1530;174;31.8
1531;174;31.8
1532;167;31.8
1533;165;31.8
1534;166;31.8
1535;165;31.8
1536;148;31.8
1537;151;31.8
1538;166;31.8
1539;171;31.8
1540;179;31.8
1541;170;31.8
1542;151;31.8
1543;139;31.7
1544;153;31.7
1545;156;31.7
1546;162;31.7
1547;165;31.7
1548;165;31.7
1549;176;31.7
1550;192;31.8
1551;185;31.8
1552;175;31.8
1553;159;31.7
1554;148;31.7
1555;95;31.7
1556;73;31.7
1557;61;31.7
1558;62;31.7
1559;72;31.7
1560;90;31.7
1561;95;31.7
1562;96;31.7
1563;115;31.7
1564;124;31.7
1565;124;31.7
1566;141;31.6
1567;147;31.6
1568;129;31.6
1569;137;31.7
1570;143;31.7
1571;155;31.6
1572;146;31.6
1573;140;31.6
1574;120;31.7
1575;104;31.6
1576;110;31.6
1577;74;31.6
1578;75;31.6
1579;83;31.6
1580;106;31.6
1581;126;31.6
1582;127;31.6
1583;146;31.6
1584;145;31.6
1585;175;31.5
1586;193;31.5
1587;114;31.6
1588;99;31.6
1589;84;31.5
1590;86;31.5
1591;44;31.6
1592;39;31.5
1593;37;31.5
1594;37;31.5
1595;44;31.5
1596;37;31.5
1597;31;31.5
1598;31;31.5
1599;38;31.5
1600;38;31.5
1601;41;31.5
1602;41;31.5
1603;56;31.5
1604;54;31.5
1605;60;31.5
1606;60;31.5
1607;66;31.5
1608;66;31.5
1609;62;31.5
1610;71;31.5
1611;50;31.5
1612;51;31.5
1613;39;31.5
1614;39;31.4
1615;31;31.5
1616;31;31.4
1617;29;31.4
1618;29;31.5
1619;335;31.4
1620;152;31.4
1621;152;31.4
1622;93;31.5
1623;93;31.4
1624;69;31.4
1625;69;31.5
1626;63;31.4
1627;55;31.4
1628;35;31.4
1629;30;31.4
1630;29;31.4
1631;39;31.4
1632;41;31.4
